season,holiday,weekday,weather,temp,humidity,windspeed,registered_bikes
1,0,4,1,11.9925,42.0833,8.08355,1817
1,0,5,2,12.129153,77.5417,14.75005,1700
1,0,6,3,15.952731,0,17.545759,577
1,0,0,2,12.977402,64.9565,15.60899,1730
1,0,1,1,13.495847,59.4583,14.791925,1408
1,0,2,1,15.758268,52.7391,18.130468,1435
1,0,3,1,13.333897,49.6957,9.174042,1687
1,0,4,2,13.013031,65.5652,12.348703,1767
1,0,5,2,14.973897,77.6522,13.608839,1871
1,0,6,1,17.015,60.2917,14.041793,2320
1,0,0,1,22.14,52.5217,15.478139,2355
1,0,1,1,19.3725,37.9167,24.667189,1693
1,0,2,1,13.6325,47.375,13.917307,1424
2,0,3,2,17.647835,73.7391,19.348461,1676
2,0,4,1,18.108347,62.4583,15.12525,2243
2,0,5,2,14.225237,83.9565,15.695487,1918
2,0,6,2,11.685,80.5833,16.333729,1699
2,0,0,1,10.830847,49.5,15.458575,1910
2,0,1,1,10.899153,39.4167,14.041257,1515
2,0,2,2,10.374763,49.3913,12.3481,1221
2,0,3,1,10.838268,30.2174,14.217668,1806
2,0,4,1,12.4025,31.4167,15.208732,2108
2,0,5,2,12.3,64.6667,11.583496,1368
2,0,6,3,11.001653,91.8333,14.582282,1506
2,0,0,2,12.3,68.625,17.333436,1920
2,0,1,2,12.915,65.375,13.208782,1354
3,0,4,2,23.028347,88.125,9.041918,3203
3,0,5,2,24.395,90,6.4590814,3813
3,0,6,2,25.761653,90.2083,8.584375,4240
4,0,0,2,24.975847,97.25,5.2505689,2137
4,0,1,2,24.873347,86.25,5.2516811,3647
4,0,2,2,26.000847,84.5,3.3754064,3466
4,0,3,2,26.615847,84.8333,7.4169,3946
4,0,4,2,26.103347,88.5417,7.917457,3643
4,0,5,2,26.035,84.875,9.958143,3427
4,0,6,1,25.283347,69.9167,11.583161,4186
4,0,0,1,23.130847,64.75,13.833825,4372
4,0,1,2,16.81,75.375,19.583832,1949
4,0,2,2,14.623347,79.1667,14.874871,2302
4,0,3,2,15.750847,76.0833,5.5841686,3240
4,0,4,1,19.850847,71,13.792218,3970
4,0,5,1,22.071653,64.7917,11.87575,4267
